PM25,PM10,CO,NO,NO2,NOx,O3,PH_RAIN,RAINFALL,RH,SO2,TEMP,UVB,WIND_DIREC,WIND_SPEED
24,30,0.25,0.93,7.75,8.68,20.05,0,0,85.55,2.5,26.19,0,179.36,3.66
13,28,0.22,0.9,8.25,9.15,17.5,0,0,85.45,2.1,25.88,0,180.41,2.74
12,33,0.23,2.5,11.06,13.56,15.3,0,0,85.55,2.1,25.78,0,213.22,1.82
17,30,0.22,1.86,10.37,12.22,14.3,0,0,84.38,2,25.44,0,223.29,2.025
18,32.5,0.24,2.67,12.37,15.04,13.3,0,0,83,1.7,25.41,0,208.34,2.23
20,35,0.22,1.84,10.57,12.41,12.9,0,0,85.62,0.9,25.22,0,195.63,1.83
17,32,0.18,0.78,6.54,7.32,21.6,0,0,84.45,1.5,25.14,0,204.66,2.26
12,26,0.14,0.76,4.67,5.42,21.3,0,0,84.46,1.4,25.02,0,182.82,2.1
11,22,0.13,0.57,3.49,4.06,19.2,0,0,83.68,1.5,25.06,0,181.47,3.49
7,23,0.13,0.56,3.45,4,17.1,0,0,83.74,1.8,25.28,0,187.51,3.245
6,25,0.21,0.55,4.81,5.36,14.3,0,0,83.86,4.3,25.54,0.1,186.67,3.38
7,18,0.22,1.51,5.965,7.09,13.6,0,0,83.59,4.8,25.92,0.4,185.59,3.9525
9,17,0.28,2.4,7.12,9.52,14.3,0,0,81.75,6.4,26.56,1.4,182.4,4.30625
14,24,0.31,2.68,8.79,11.47,22.1,0,0,76.12,4.9,27.79,2.9,191.02,4.66
18,37,0.26,4.33,12.03,16.36,19,0,0,81.26,3.9,27.5,2.8,190.32,3.81
18,41,0.21,3.74,11.03,14.76,25.3,0,0,77.59,3.4,28.25,5.8,190.71,3.56
14,36,0.18,1.93,8.72,10.65,39.8,0,0,69.81,3.2,29.54,7,192.41,5
16,36,0.22,1.63,8.83,10.47,47.6,0,0,65.04,3.3,30.77,9.2,188.27,4.26
16,32,0.23,0.94,7.33,8.28,60.3,0,0,62.25,2.7,31.3,8,195.77,3.84
20,34,0.27,1,9.57,10.57,61.4,0,0,61.19,4.5,31.56,4.9,238.76,3.11
28,52,0.36,1.55,11.13,12.68,49.7,0,0,60.84,6.3,32.32,4.1,208.69,3.42
28,57,0.48,2.66,16.13,18.78,44,0,0,63.9,8.5,31.8,2.1,206.2,3.275
28,52,0.3,1.78,13.58,15.36,40.8,0,0,69.25,5.9,30.26,0.5,197.44,3.13
28,56,0.32,1.18,15.44,16.62,37.3,0,0,74.96,6.3,28.77,0,196.81,1.79
30,54,0.35,0.8,19.21,20.01,33.1,0,0,77.04,6.7,28.01,0,182.1,3.515
31,48,0.37,0.76,16.45,17.21,26.6,0,0,78.55,5.1,27.23,0,186.78,3.7075
21,39,0.23,0.64,8.31,8.95,25.1,0,0,79.3,2.8,26.64,0,182.66,3.9
10,31,0.18,0.5,6.51,7.01,21.4,0,0,79.6,2.4,26.52,0,182.89,3.76
12,31,0.2,0.69,7.78,8.47,16.1,0,0,81.37,2.5,26.12,0,184.57,3.575
14,32,0.19,0.66,8.82,9.48,13.7,0,0,82.48,2.4,25.76,0,178.76,3.39
5,26,0.15,0.58,8.62,9.2,13.65,0,0,79.45,2.4,25.52,0,193.79,2.25
3,16,0.12,0.65,8.97,9.63,13.6,0,0,77.36,2.2,25.26,0,192.96,2.245
5,20,0.13,0.6,5.3,5.9,16,0,0,79.2,2.1,25.03,0,188.52,2.24
4,24,0.13,0.55,8.26,8.81,13.2,0,0,80.77,3.3,25.28,0,171.92,2.63
9,21,0.14,0.67,9.94,10.61,15.2,0,0,78.78,3.1,25.46,0,171.93,3.02
8,19,0.15,1.46,7.45,8.92,17.5,0,0,76.29,2.5,26.3,0.6,184.08,3.01
9,22,0.19,1.74,6.15,7.88,22.1,0,0,72.41,2.4,27.69,1.8,177.57,3.065
10,26,0.2,1.76,7.33,9.1,24.7,0,0,73.26,2.6,28.1,3.1,171.51,3.12
11,21,0.19,1.57,5.7,7.27,35.2,0,0,62.22,2.4,30.6,8.7,179.71,3.41
18,29,0.24,1.37,7.58,8.95,50.5,0,0,57.45,3.2,31.82,8.9,196.39,3.26
23,50,0.3,1.2,11.16,12.36,65.8,0,0,56.21,4,32.45,8.4,212.35,2.05
30,59,0.26,1.05,10.69,11.74,79.6,0,0,53.58,3.9,33.4,9.3,201.85,2.73
34,60,0.27,0.85,11.08,11.93,71,0,0,59.4,5,32.75,4.9,284.92,2.22
29,60,0.33,1.07,12.84,13.91,61.9,0,0,66.36,6.6,30.59,3.4,271.33,1.95
25,55,0.37,1.62,12.91,14.53,55,0,0,55.19,6.7,32.57,4.6,217.25,2.99
28,54,0.7,4.34,21.75,26.1,33.3,0,0,57.98,10.1,31.51,1.8,219.96,1.57
33,65,0.42,2.12,16.47,18.59,32.7,0,0,68.29,5,30.29,0.6,249.48,1.15
38,66,0.49,1.48,19.36,20.84,25.8,0,0,74.09,6.1,29.21,0,51.05,1.16
33,58,0.48,1.07,17.76,18.83,18.1,0,0,80.8,4.5,27.76,0,158.28,1.74
34,61,0.52,3.58,23.36,26.95,15.7,0,0,80,4.2,27.6,0,156.75,2.035
42,69,0.48,1.05,20.54,21.59,14.4,0,0,85,3.1,26.69,0,43.93,2.33
39,63,0.3,0.57,13.07,13.64,16.1,0,0,89.69,2.7,26.32,0,34.53,1.54
33,54,0.32,0.82,15.38,16.19,10.6,0,0,89.57,3,26.09,0,233.54,0.75
34,50,0.31,2.69,17.28,19.96,7,0,0,89.47,2.3,25.88,0,24.46,0.56
36,57,0.31,1.69,16.47,18.17,6.9,0,0,89.09,2.1,26.06,0,17.81,1.025
32,61,0.39,1.67,18.36,20.03,7.6,0,0,88.98,2.7,26.03,0,42.67,1.49
29,57,0.25,0.98,12.39,13.38,12.3,0,0,89.51,2.2,25.62,0,42.09,1.35
24,49,0.2,0.18,8.48,8.66,17,0,0,87.76,1.8,25.31,0,17.75,1.21
20,38,0.2,0.12,7.24,7.37,16.2,0,0,88.23,1.6,25.08,0,351.52,1.03
22,38,0.27,2.59,10.35,12.94,11,0,0,88.8,1.8,25.18,0.5,24.21,0.94
21,35,0.18,2.37,7.86,10.23,20.3,0,0,79.55,2.4,26.56,1.8,40.93,2.73
16,34,0.18,1.11,7.1,8.21,36.5,0,0,72.44,2.8,28.49,4.9,23.15,2.08
20,36,0.2,0.56,6.61,7.18,58,0,0,66.57,2.7,29.66,6.2,117.41,3.64
27,39,0.23,0.74,11.9,12.64,51.7,0,0,75.84,3.3,28.54,2.9,314.17,2.79
27,46,0.2,0.66,11.95,12.61,42.8,0,0,80.83,2.9,27.7,2.5,0.88,2.86
28,52,0.2,0.4,9.54,9.93,53.2,0,0,78.33,3,28.04,5.1,321.74,3.85
25,55,0.175,0.66,7.07,7.74,49.2,0,0,71.55,2.4,29.36,8.3,316.67,2.54
24,59.5,0.15,0.65,7.32,7.97,44.05,0,0,74.32,2.05,29.03,3.5,291.41,2.67
23,64,0.15,0.45,7.9,8.345,38.9,3.93,7,87.13,1.7,27.02,0.8,44.92,2.5
24,50,0.19,0.25,8.48,8.72,43.2,3.78,2,92.03,1.6,26,0.3,55.9,1.67
17,28,0.17,0.16,4.89,5.05,49.3,3.68,0.4,91.04,1.3,25.3,0.4,32.68,2.07
10,22,0.22,0.02,6.36,6.37,47.2,0,0,90.49,1.4,25.32,0,43.94,1.73
15,29,0.24,0.05,15.19,15.24,39,0,0,92.33,2.1,25.28,0,39.9,2.12
21,37,0.31,0.08,24.02,24.11,25,0,0,93.01,3.2,25.1,0,38.96,1.88
24,42,0.31,0.21,21.25,21.46,16.3,0,0,93.08,2.9,25.18,0,40.19,1.955
20,41,0.3,0.34,17.97,18.31,10.2,0,0,92.98,3,25.17,0,38.88,2.03
18,38,0.29,0.46,12.32,12.79,12.1,0,0,93.62,2,24.71,0,185.73,1.25
14,37,0.28,0.35,10.35,10.69,9.5,0,0,93.57,1.5,24.3,0,108.36,0.59
13,41,0.28,3.89,12.5,16.39,5.3,0,0,93.76,1.4,23.92,0,48.69,0.79
16,43,0.33,4.82,15.53,20.35,4.8,0,0,94.28,1.5,23.69,0,26.87,0.99
14,42,0.31,1.94,8.91,10.85,5.4,0,0,94.15,1.5,23.35,0,13.82,1.01
11,42,0.25,1.78,6.82,8.6,6,0,0,93.78,1.5,22.99,0,29.23,1.08
11,39,0.22,2.68,6.56,9.24,8,0,0,93.99,1.4,22.74,0.1,27.06,1.45
11,29,0.21,7.2,6.83,14.03,9.9,0,0,90.74,1.8,23.97,0.7,22.4,1.25
9,21,0.14,2.42,3.15,5.57,16.4,0,0,80.6,2.2,26.54,2.5,68.98,1.485
7,23,0.11,1.71,2.03,3.74,22.1,0,0,70.02,1.8,28.15,5.6,19.74,1.72
8,24,0.11,1.58,2.08,3.66,27.7,0,0,59.23,1.6,30.03,9.2,39.02,2.38
10,21,0.12,1.31,3.04,4.34,37.8,0,0,57.41,1.8,30.91,12.3,44.37,2
11,23,0.16,1.38,4.59,5.97,50.4,0,0,54.15,2,32.56,13.05,283.93,2.56
14,30,0.15,2.04,7.12,9.16,46.4,0,0,56.16,2.3,32.94,13.8,283.1,2.9
16,38,0.16,3.53,9.16,12.69,41.7,0,0,54.12,2.7,33.02,12.1,285.9,2.78
12,29,0.13,2.09,3.7,5.79,34.2,0,0,51,2.2,32.16,9.2,275.33,2.44
11,19,0.15,2.36,4.74,7.1,29.1,0,0,46.61,2.9,32.47,5.7,207.09,1.82
27,35,0.28,1.86,5.5,7.36,38.4,0,0,43.68,2.9,32.92,2.4,225.22,1.48
41,54,0.27,2.03,8.57,10.6,37.3,0,0,48.7,2.8,31.81,0.7,218.1,1.36
46,63,0.39,2.41,17.71,20.12,24.5,0,0,62.69,2.9,29.2,0.1,186.53,1.32
49,69,0.42,2.66,16.52,19.18,10.5,0,0,73.33,3.2,27.17,0,185.12,2.02
38,65,0.4,2.35,18.16,20.51,8.45,0,0,75.01,3.9,26.47,0,194.42,2.23
32,61,0.51,2.42,20.27,22.69,6.4,0,0,75.6,4.2,26.22,0,197.43,2.805
27,52,0.44,1.52,16.72,18.24,8.6,0,0,77.01,3.1,26,0,177.98,3.38
25,46,0.33,0.93,11.22,12.15,14.3,0,0,77.73,2.9,25.9,0,193.59,2.25
30,49,0.28,0.78,8.92,9.7,17.6,0,0,79.64,2.6,25.34,0,189.68,2.86
28,48,0.23,0.82,7.95,8.76,17.15,0,0,81.64,2.7,25.17,0,190.83,3.08
18,38,0.18,0.86,7.25,8.1,16.7,0,0,83.71,2.2,25.11,0,184.64,3.235
14,31,0.13,0.21,4.44,4.65,20.3,0,0,81.1,1.7,25.23,0,188.19,3.65
16,30,0.13,0.1,4.16,4.25,21.9,0,0,80.22,2.2,24.96,0,182.87,3.935
20,27,0.15,0.02,3.97,3.99,33,0,0,76.85,2.4,25.35,0.1,180.54,4.22
22,34,0.17,0.29,3.79,4.08,37.8,0,0,75.51,2.7,26.39,0.5,179.2,4.2275
22,42,0.17,0.44,3.21,3.65,40.4,0,0,72.64,2.4,27.92,1.7,187.58,4.37375
24,45,0.22,0.69,4.46,5.15,43.6,0,0,69.01,2.7,29.27,3.9,187.92,4.52
27,50,0.29,1.05,7.53,8.58,50.6,0,0,64.73,3.2,30.48,5.2,192.04,4.66
36,57,0.27,0.77,6.71,7.48,57.3,0,0,61.67,2.8,30.99,7.4,189.06,5.28
43,66,0.29,0.89,9.73,10.62,56,0,0,65.03,3.1,30.68,5.3,189.74,3.84
41,69,0.27,1.05,7.69,8.74,49.6,0,0,67.79,2.8,29.8,3.9,189.48,4.23
36,64,0.27,1.13,8.12,9.25,56.8,0,0,62.1,3,30.7,5.5,189.37,4.46
37,63,0.28,0.89,7.77,8.66,57.5,0,0,59.7,2.9,31.43,5,187.56,4.56
60,89,0.47,3.74,16.26,20,50,0,0,61.7,5.6,30.95,3.1,191.71,4.95
64,95,0.34,2.22,10.09,12.31,45.9,0,0,58.15,3.8,30.87,1.7,183.88,4.7
36,61,0.28,0.56,5.82,6.38,38.3,0,0,63.47,2.2,29.56,0.5,183.83,4.35
23,44,0.34,0.36,7.43,7.79,38.9,0,0,69.33,2.5,28.48,0.1,185.12,3.03
23,42,0.34,0.25,8.18,8.43,38.8,0,0,73,2.7,27.82,0,180.53,4.1
22,39,0.25,0.29,7.05,7.34,35.3,0,0,72.79,2.4,27.45,0,186.94,3.61
18,30,0.19,0.31,5.17,5.49,29.1,0,0,75.23,2.1,26.8,0,186.46,2.48
15,30,0.17,0.28,5.13,5.41,27.9,0,0,76.85,2.1,26.77,0,189.9,3.47
15,33,0.17,0.14,4.79,4.93,29.9,0,0,76.95,2.2,26.65,0,184.59,3.4
14,30,0.17,0.12,5.34,5.47,28.8,0,0,79.6,2.8,26.45,0,188.87,3.33
14,28,0.17,0.2,5.85,6.04,23.05,0,0,82.74,2.8,25.98,0,194.2,3.08
16,28,0.17,0.14,6,6.15,19.625,0,0,85.28,2.4,25.3,0,197.84,2.83
15,33,0.22,0.71,12.61,13.32,16.2,0,0,86.24,3.1,25.16,0,189.58,3.06
15,37,0.25,0.67,12.77,13.44,12.5,0,0,88.34,2.5,25.09,0,191.22,3.68
14,29,0.22,0.78,7.76,8.54,17.5,0,0,84.76,3.8,25.69,0.1,187.07,4.105
10,26,0.23,1.27,7.005,8.91,16.9,0,0,82.74,4.6,26.17,0.4,179.42,4.6275
11,24,0.22,2.56,6.25,8.81,19.2,0,0,77.4,4.7,27.53,1.8,181.25,5.15
14,29,0.22,2.17,6.25,8.42,22.5,0,0,77.86,3.5,27.77,2.4,182.28,5.75
12,32,0.23,2.37,8.03,10.4,23.4,5.15,1.6,84.15,2.8,26.88,3.6,188.96,4.68
11,28,0.22,2.57,6.05,8.62,25.6,0,0,86.56,1.7,26.51,5.5,180.23,4.14
11,24,0.25,2.81,9.15,11.96,27.7,5.58,1.6,81.56,1.8,27.22,5,203.8,3.395
3,20,0.17,2.2,5.83,8.03,23.6,5.79,4.8,91.69,1.4,24.98,4,188.94,2.65
0,17,0.16,2,3.95,5.95,26.8,5.29,1.8,91.15,1.2,25.27,5,177.77,3.74
1,14,0.12,1.18,2,3.18,26.6,0,0,79.28,1.2,27.38,8.3,176.11,5.66
3,12,0.12,1.01,1.85,2.86,27,0,0,67.3,1.2,29.79,5.4,180.07,6.13
6,13,0.13,1.12,2.09,3.21,26.4,0,0,64.76,1.2,29.92,2.7,184.97,5.735
8,22,0.13,1.38,2.58,3.96,26.2,0,0,64.86,1.2,29.34,0.8,186.31,5.34
7,20,0.14,0.75,2.24,2.99,25.3,0,0,73.47,1.2,27.27,0.1,190.63,4.12
10,42,0.21,0.87,4.98,5.85,22.2,0,0,76.82,1.4,26.64,0,187.68,5.77
11,46,0.2,0.77,4.61,5.38,21.05,0,0,78.22,1.3,26.21,0,190.19,5.985
8,19,0.17,0.69,4.01,4.7,19.9,0,0,79.36,1.3,25.82,0,187.02,6.2
3,18,0.12,0.62,2.45,3.07,23.7,0,0,74.64,1.2,26.32,0,185.7,5.2675
3,16,0.1,0.67,1.56,2.23,25.5,0,0,74.46,1.3,26.37,0,189.48,4.90875
5,18,0.1,0.74,1.74,2.49,24.6,0,0,74.75,1.3,26.26,0,185.27,4.55
2,22,0.1,0.54,1.73,2.28,24,0,0,77.07,1.2,25.81,0,189.23,3.77
0,19,0.12,0.57,1.98,2.55,22.4,0,0,78.76,1.4,25.56,0,188.88,3.9
6,15,0.12,0.76,2.52,3.28,23.3,0,0,79.71,1.3,25.33,0,186.26,4.225
10,18,0.11,0.57,2,2.56,24.2,0,0,78.27,1.5,25.78,0,182.82,4.4525
7,24,0.12,0.4,2.79,3.19,23.8,0,0,78.55,2.1,26.02,0.1,182.45,4.68
5,21,0.13,0.74,3.26,4,23,0,0,77.47,2.2,26.4,0.6,177.13,4.36
7,16,0.15,1.41,4.38,5.78,20.9,0,0,75.69,2.3,27.08,1.1,189.27,4.04
6,17,0.23,2.83,10.19,13.02,17.5,0,0,79.06,2.9,26.56,1.1,205.03,4.12
5,20,0.22,2.9,9.57,12.47,18.1,0,0,87.19,2.4,25.15,2.8,189.18,5.28
6,20,0.19,3.02,8.65,11.67,19.2,5.55,2.4,90.9,1.8,24.38,2.3,187.89,3.73
4,15,0.14,1.1,3.09,4.19,22.4,5.51,1,92.03,1.2,24.11,2.5,170.46,3.45
2,13,0.12,1.06,2.16,3.22,23.7,0,0,82.76,1.2,25.67,7.1,171.85,4.38
2,13,0.11,0.87,1.83,2.7,26.5,0,0,64.03,1.2,29.86,12.5,176.9,4.91
5,13,0.12,0.76,1.57,2.33,25.8,0,0,59.89,1.3,31.02,8.2,189.57,4.3
4,18,0.12,0.66,1.53,2.19,24.7,0,0,59.8,1.3,30.33,4.9,187.91,5.54
6,18,0.12,0.85,1.86,2.71,29.7,0,0,58.97,1.4,30.48,2.7,191.53,4.67
6,21,0.17,1.03,4.5,5.52,38,0,0,64.5,1.8,29.5,0.8,184.24,4.66
5,25,0.19,0.67,4.67,5.35,42.3,0,0,69.33,1.9,28.49,0.1,188.96,3.89
3,21,0.23,0.5,6.87,7.37,35.4,0,0,72.83,2.5,27.4,0,193.01,4.745
8,25,0.27,0.69,11.64,12.34,24.8,0,0,75.46,3.6,26.93,0,187.18,4.7875
11,36,0.24,0.61,10.9,11.51,24.5,0,0,77.83,4.2,26.54,0,183.24,4.83
9,34,0.19,0.45,8.33,8.78,28,0,0,78.99,3,26.31,0,186.51,4.24
11,24,0.2,0.41,7.57,7.98,26.7,0,0,79.98,3.4,26.13,0,191.68,4.2825
12,26,0.24,0.54,12.86,13.41,17.9,0,0,82.31,4.9,25.77,0,185.48,4.325
11,32,0.22,0.45,11.37,11.81,16.7,0,0,83.4,5,25.5,0,185.53,4.05125
9,28,0.28,0.5,9.99,10.49,16.55,0,0,82.83,7.2,25.53,0,186.92,3.935625
12,23,0.41,0.31,9.82,10.13,16.4,0,0,82.28,8.1,25.38,0,191.99,3.82
12,27,0.34,0.41,9.7,10.11,16.5,0,0,84.05,6.8,25.12,0,191.8,3.38
10,29,0.32,0.81,13.75,14.56,10.3,0,0,87.11,6,24.72,0.1,189.34,2.94
9,29,0.25,1.49,7.12,8.61,15.4,0,0,82.33,3.3,25.55,0.6,188.75,3.795
7,24,0.16,1.75,3.87,5.62,19.3,0,0,74.32,2.1,26.93,2.1,185.64,4.65
5,17,0.12,1.24,2.84,4.08,23.3,0,0,71.26,2.1,28.28,4.8,182.96,6.59
4,17,0.14,1.13,3.22,4.35,30.2,0,0,68.68,3.9,29.43,7.2,183.84,5.02
5,22,0.17,1.08,4.05,5.14,38.9,0,0,62.82,2,31,11.1,184.86,5.42
9,28,0.17,0.93,4.41,5.33,41,0,0,61.37,2,31.55,8.5,181.51,4.935
13,27,0.14,1.02,4.77,5.79,38,0,0,71.87,1.7,29.37,7.1,178.76,4.45
11,23,0.18,0.9,5.19,6.1,41.2,5.57,7,81.17,1.8,28.41,2.6,195.3,3.23
11,24,0.14,0.57,3.48,4.05,36.4,5.63,0,84.2,1.5,27.73,5.3,175.87,4.54
11,27,0.16,0.51,3.39,3.9,36.5,6.05,1,82.79,1.5,27.49,3.2,187.63,4.75
9,26,0.12,0.65,2.31,2.95,31.2,0,0,67.71,1.3,29.07,2.7,180.98,5.325
7,23,0.11,0.64,1.96,2.6,25.8,0,0,66.34,1.2,28.67,0.7,184.74,5.9
5,20,0.14,0.52,4.11,4.63,22.2,0,0,69.84,1.7,27.41,0.1,189.69,4.7075
6,20,0.18,0.4,5.55,5.94,21,0,0,71.59,1.7,26.58,0,189.29,4.39875
6,19,0.12,0.46,2.08,2.54,24,0,0,71.02,1.5,26.51,0,184.04,4.09
4,15,0.09,0.4,1.72,2.12,24,0,0,69.44,1.2,26.53,0,192.43,3.2
10,16,0.13,0.24,2.03,2.28,22.9,0,0,73.09,1.6,25.91,0,187.8,4.175
8,20,0.14,0.24,2.41,2.65,21.2,0,0,74.66,1.8,25.77,0,189.46,4.2175
1,26,0.09,0.18,1.71,1.89,21.7,0,0,70.18,1.4,26.24,0,189.47,4.26
0,27,0.09,0.56,1.64,2.2,20.6,0,0,69.7,1.2,26.42,0,186.46,3.785
2,19,0.08,0.21,1.34,1.55,20.3,0,0,72.4,1.2,26.12,0,182.29,3.31
9,19,0.08,0.61,1.75,2.36,20,0,0,74.56,1.2,25.74,0,192.32,3.72
6,21,0.08,0.62,1.91,2.53,19.4,0,0,76.43,1.6,25.74,0,175.26,4.13
2,19,0.08,0.51,2.42,2.93,18.4,0,0,77.71,2,25.94,0.1,178.28,4.63
4,18,0.09,1.07,3.11,4.18,16.9,0,0,76.61,2.2,26.36,0.5,183.22,5.085
5,17,0.1,2.14,4.63,6.77,14.8,0,0,75.37,3.3,27.08,1.7,188.41,5.54
8,21,0.14,2.56,5.06,7.62,16.5,0,0,75.05,3.2,27.52,2.6,189.36,5.04
10,33,0.24,2.99,8.47,11.46,19.5,0,0,74.16,3.3,27.71,3.8,189.23,5.11
9,39,0.24,3.16,8.21,11.37,27.8,0,0,70.28,2.8,28.81,6.5,179.19,5.73
13,43,0.18,1.57,5.23,6.8,39.9,0,0,62.39,2.4,30.77,7.8,183.09,5.77
18,47,0.19,1.03,4.91,5.94,48.9,0,0,60.36,2.3,31.25,9.1,183.82,6.2
16,42,0.19,1.03,5.51,6.55,53.3,0,0,59.18,2.5,31.9,9,189.51,5.77
15,42,0.17,1.12,5.72,6.84,47.6,0,0,60.49,2.6,31.58,5.7,197.71,4.43
18,43,0.19,1.97,10.53,12.49,45.5,0,0,59.62,4.1,32.13,4.9,199.48,3.92
16,35,0.19,2.01,9.57,11.58,38.5,0,0,58.68,3.8,31.51,2.4,201.12,3.88
10,33,0.2,2.48,12.03,14.51,30.6,0,0,61.59,3.8,30,0.7,193.6,3.92
8,36,0.21,1.69,12.05,13.74,19.7,0,0,68.8,3.7,28.43,0.1,188.48,3.29
12,41,0.3,0.87,14.51,15.37,18.1,0,0,73.32,3.6,27.22,0,178.83,4.41
15,43,0.24,0.99,9.17,10.16,17.4,0,0,75.2,2.6,27.09,0,183.09,4.055
13,33,0.16,0.6,5.6,6.2,19.5,0,0,76.08,2.2,26.61,0,192.5,3.7
9,28,0.12,0.65,4.48,5.13,19,0,0,75.65,2.3,26.17,0,191.73,3.69
9,24,0.16,0.49,5.96,6.44,15.6,0,0,77.85,2.7,25.72,0,189.44,3.68
11,26,0.15,0.56,6.54,7.11,14,0,0,78.07,2.5,25.41,0,191.24,3.36
9,29,0.11,0.61,4.08,4.69,14.55,0,0,78.58,2.1,25.25,0,189.43,3.75
8,28,0.13,0.7,4.7,5.4,15.1,0,0,81.18,2.3,25.06,0,188.64,4.14
6,22,0.1,0.28,5.2,5.47,16,0,0,80.63,2.4,24.99,0,187.99,4.24
3,20,0.08,0.24,2.83,3.07,16.9,0,0,81.78,1.6,25.06,0,183.54,4.34
5,26,0.08,0.31,2.18,2.5,17.8,0,0,83.54,1.6,25.14,0.1,181.28,4.71
5,23,0.09,0.49,2.04,2.68,16.6,0,0,79.96,1.6,26.24,0.6,186.65,4.22
4,22,0.11,1.05,1.9,2.95,17.6,0,0,74.08,1.6,28,2.3,188.54,5.515
8,26,0.16,1.12,2.8,3.92,23.1,0,0,68.81,1.6,28.63,4.9,186.75,6.81
10,28,0.17,0.9,3.74,4.64,30.2,0,0,60.34,1.8,30.36,8.8,191.14,5.97
8,34,0.18,1.17,5.38,6.55,40.8,0,0,56.14,2,31.61,11.6,189.44,6.22
12,39,0.17,0.87,6.08,6.94,47.6,0,0,55.45,2.2,32.3,9.8,199.85,4.18
21,45,0.17,1.12,8.19,9.31,49.6,0,0,62.02,2.9,31.72,6.9,190.89,5.05
22,46,0.16,0.91,8.27,9.19,53.5,0,0,60.84,3.3,31.59,7.8,203.95,4.88
20,43,0.17,1.12,7.07,8.2,56.2,0,0,53.51,3.4,32.93,7.3,192.66,5.17
19,50,0.17,1.55,8.5,10.06,46.8,0,0,57.1,3.8,32.38,5,203.3,4.91
19,42,0.18,3.53,9.53,13.06,32.3,0,0,57.12,2.9,31.51,2.4,198.31,4.76
18,37,0.19,2.17,9.26,11.44,27.2,0,0,62.78,2.8,30.23,0.7,193.14,4.7
17,45,0.29,2.15,16.8,18.95,24.7,0,0,65.35,5,28.66,0.1,189.02,4.53
17,39,0.26,0.67,8.92,9.59,21.8,0,0,64,2.8,27.71,0,184.39,4.425
10,30,0.18,0.67,5.58,6.25,19.7,0,0,69.07,1.9,27.04,0,188.09,4.2875
6,33,0.13,0.28,4.06,4.34,19.4,0,0,74.45,1.7,26.57,0,185.36,4.15
9,32,0.12,0.34,5.09,5.43,16.7,0,0,79.15,2.3,26.38,0,188.4,5.59
10,26,0.11,0.29,4.03,4.32,16.7,0,0,76.74,1.9,26.18,0,186.96,5.65
7,26,0.12,0.38,4.31,4.7,15.1,0,0,75.92,2.5,25.94,0,185.8,5.445
8,30,0.11,0.25,4,4.25,15.7,0,0,74.68,2,25.88,0,183.52,5.33
5,28,0.09,0.39,3.32,3.71,16.65,0,0,76.22,1.8,25.52,0,183.36,5.20875
5,24,0.08,0.83,2.76,3.59,17.6,0,0,76.75,1.7,25.39,0,181.19,5.86
9,22,0.08,0.47,2.84,3.31,18,0,0,76.9,1.9,25.32,0,176.09,5.7875
11,23,0.08,0.62,2.68,3.29,19.3,0,0,75.07,1.9,25.29,0.1,178.77,5.669375
10,24,0.09,0.98,2.48,3.26,19.1,0,0,71.74,1.6,25.87,0.6,185.08,5.95875
5,21,0.1,1.19,2.28,3.47,19.8,0,0,67.46,1.6,27.43,2.2,185.12,6.044375
3,21,0.17,1.81,3.34,5.14,24.4,0,0,62.68,1.7,28.9,5,182.15,6.13
9,25,0.18,1.71,4.72,6.43,33.6,0,0,56.01,1.8,30.21,8.1,182.89,7.29
14,32,0.16,1.52,5.17,6.69,39.8,0,0,51.82,2.1,31.25,10.8,180.1,6.65
13,38,0.2,1.45,6.03,7.48,51.3,0,0,51.17,2.6,32.28,10.5,191.45,6.01
17,44,0.17,1.37,6.53,7.9,53.6,0,0,52.69,2.6,32.57,10.2,189.64,5.58
18,43,0.16,1.43,8.25,9.68,47.9,0,0,56.62,3.7,32.03,6.8,200.12,4.32
16,39,0.16,1.78,10.02,11.8,50,0,0,59.11,4.2,31.62,6,205.62,4.57
18,39,0.16,2.09,9.3,11.39,45.9,0,0,55.72,4,32.05,4.9,201.33,4.83
16,42,0.2,2.01,10.8,12.81,45.2,0,0,57.73,4.2,31.43,2.3,199.52,4.5
21,49,0.23,2.01,14.17,16.17,43,0,0,66.17,5.2,30.05,0.7,195.67,4.25
28,54,0.28,1.44,17.61,19.05,35.6,0,0,72.45,6.7,28.36,0.1,188.99,4.125
25,53,0.26,1.04,16.57,17.6,18.7,0,0,70.67,4.8,27.67,0,187.77,4.09
21,47,0.28,1.12,16.88,17.99,11.8,0,0,78.64,4,26.98,0,187.59,3.9025
17,44,0.22,0.78,9.06,9.84,15.6,0,0,80.37,2.4,26.42,0,185.28,3.79125
11,36,0.16,0.7,6.87,7.57,16.4,0,0,82.37,2.3,25.91,0,188.58,3.68
8,24,0.1,0.65,4,4.65,17.3,0,0,78.02,1.6,25.52,0,181.38,3.455
3,25,0.09,0.69,3.13,3.82,17.6,0,0,75.66,1.4,25.42,0,187.14,3.23
4,27,0.08,0.66,2.64,3.3,17.1,0,0,76.93,1.4,24.95,0,191.13,3.66
7,23,0.11,0.72,3.04,3.75,17,0,0,77.56,1.6,24.76,0,188.1,4.09
7,20,0.1,0.54,3.17,3.71,16.9,0,0,77.48,1.6,24.77,0,185.15,4.44
8,20,0.11,0.45,3.73,4.18,17.3,0,0,80.97,1.8,24.74,0,186.4,4.7
