0.12,0.11,0.33,0.32,0.32,0.3,0.29,0.28,0.28,0.28,0.34,0.37,0.37,0.32,0.31,0.33,0.36,0.4,0.37,0.38,0.36,0.37,0.37,0.35
0.35,0.35,0.33,0.31,0.31,0.32,0.34,0.4,0.43,0.48,0.53,0.54,0.5,0.44,0.41,0.43,0.45,0.47,0.48,0.49,0.5,0.49,0.47,0.49
0.52,0.55,0.66,0.66,0.66,0.68,0.7,0.8,0.8,0.39,0.39,0.68,0.7,0.63,0.56,0.53,0.51,0.52,0.53,0.62,0.61,0.58,0.61,0.61
0.55,0.5,0.5,0.45,0.39,0.4,0.36,0.39,0.45,0.26,0.35,0.88,0.87,0.66,0.57,0.61,0.69,0.91,1.07,1.08,1.07,0.88,0.51,0.47
0.58,0.92,0.84,0.63,0.29,0.19,0.18,0.21,0.24,0.27,0.27,0.28,0.28,0.26,0.37,0.28,0.3,0.34,0.34,0.31,0.31,0.27,0.25,0.26
0.24,0.22,0.21,0.2,0.2,0.22,0.26,0.3,0.35,0.37,0.43,0.47,0.46,0.44,0.42,0.44,0.48,0.49,0.48,0.48,0.48,0.46,0.41,0.39
0.37,0.35,0.34,0.32,0.27,0.26,0.25,0.27,0.29,0.32,0.37,0.39,0.42,0.44,0.43,0.44,0.43,0.43,0.41,0.42,0.41,0.41,0.41,0.38
0.37,0.39,0.39,0.39,0.39,0.4,0.41,0.44,0.39,0.42,0.4,0.44,0.4,0.45,0.42,0.4,0.38,0.38,0.44,0.37,0.42,0.53,0.39,0.4
0.43,0.4,0.39,0.4,0.4,0.3,0.23,0.28,0.3,0.3,0.31,0.28,0.3,0.32,0.36,0.33,0.33,0.36,0.33,0.32,0.34,0.35,0.35,0.35
0.34,0.31,0.29,0.28,0.28,0.3,0.31,0.34,0.35,0.39,0.54,0.49,0.45,0.46,0.44,0.52,0.49,0.5,0.56,0.62,0.63,0.62,0.7,0.61
0.51,0.46,0.48,0.45,0.43,0.49,0.47,0.78,0.72,0.65,0.54,0.55,0.49,0.54,0.6,0.55,0.55,0.54,0.71,0.81,1,0.82,0.7,0.62
0.54,0.34,0.38,0.38,0.34,0.35,0.31,0.42,0.51,0.33,0.32,0.34,0.4,0.56,0.44,0.44,0.54,0.9,0.94,0.87,0.98,0.78,0.57,0.56
0.58,0.52,0.51,0.5,0.47,0.43,0.36,0.34,0.33,0.32,0.33,0.35,0.34,0.29,0.27,0.29,0.31,0.33,0.36,0.47,0.44,0.34,0.32,0.25
0.25,0.27,0.32,0.38,0.45,0.46,0.34,0.31,0.37,0.32,0.3,0.32,0.32,0.46,0.59,0.62,0.67,0.75,1.04,0.85,0.8,0.67,0.66,0.67
