PM25,PM10,CO,NO,NO2,NOx,O3,RAINFALL,RH,SO2,TEMP,UVB
3,4,0.19,1.81,3.9,5.71,44.5,0.6,96,3.4,11.71,1
3,4,0.19,1.81,5.42,7.24,43.1,0.6,95,4.5,12.29,1.5
3,4,0.2,2.02,7.17,9.19,41.3,0.8,95,5.3,12.62,1
4,5,0.2,1.39,4.32,5.71,43.3,8,94,2.6,12.84,0.7
2,2,0.19,1.01,1.35,2.36,46.7,3.2,96,0.7,12.585,1.2
2,2,0.18,0.96,1.45,2.41,46.9,3,95,0.6,12.33,0.9
2,2,0.18,1.02,1.53,2.55,47.5,3.8,95,0.6,12.15,0.5
3,3,0.18,1.09,1.49,2.58,47.7,2,94,0.6,12.11,0.2
2,2,0.18,1.09,1.82,2.9,47,2,97,0.7,12.25,0
3,4,0.18,1,1.66,2.66,46.6,2,98,0.6,12.32,0
3,3,0.17,1.16,1.5,2.66,46.6,1.4,97,0.7,12.46,0
3,3,0.17,1.3,1.35,2.65,46.3,1,97,0.6,12.6,0
3,4,0.17,1.06,1.44,2.5,45.8,0.8,97,0.6,12.82,0
2,2,0.18,0.9,1.27,2.18,46,0.2,96,0.6,13.07,0
3,3,0.18,1.1,3.76,4.87,44.1,1.2,96,2.5,13.63,0
3,4,0.18,1.28,1.59,2.88,44.7,0.4,95,0.9,14.01,0
3,4,0.18,1.01,2.58,3.59,42.8,0.4,95,1.8,14.23,0
2,8,0.2,1.06,2.79,3.85,41.6,0,95,2.2,14.27,0
2,4,0.21,0.93,1.88,2.81,41.5,0.4,95,1.5,14.41,0
3,4,0.21,1.25,3.42,4.67,40.6,0.2,98,1.5,12.92,0
3,4,0.19,0.79,1.7,2.48,43,0.2,94,1.4,12.29,0
2,3,0.19,0.68,1.16,1.83,46.2,1,96,1.4,13.74,0
6,7,0.19,0.89,0.92,1.81,44.7,0.6,100,1.3,13.89,0.1
3,3,0.19,0.65,1.15,1.8,43.4,1.8,97,1.3,13.5,0.3
3,4,0.19,0.75,0.77,1.52,43.3,0.2,97,1.3,14.61,1
6,8,0.2,0.47,1.29,1.76,41.3,0,99,1.4,14.62,1.6
2,1,0.23,0.93,3,3.93,39.7,1,96,1.3,14.925,1.9
0,1,0.21,0.91,2,2.9,41.2,0.6,95,1.3,15.23,2.7
5,9,0.21,0.83,2.86,3.69,42.7,1.2,99,1.2,13.315,1.1
5,9,0.21,0.8,1.7,2.5,46.3,2,99,1.2,11.4,0.8
2,2,0.21,0.88,1.59,2.47,46.2,2.8,100,1.1,10.57,0.5
0,2,0.21,0.62,1.52,2.14,45.5,0,100,1.1,11.54,0.5
4,6,0.22,0.56,1.93,2.49,43.4,0,98,1.2,11.64,0.1
1,6,0.22,0.69,2.19,2.87,40.8,0,98,1.1,11.53,0
4,5,0.22,0.79,1.85,2.63,43.9,0.6,99,1.3,11.47,0
3,2,0.22,0.71,1.84,2.55,46.6,0.2,100,1,10.72,0
2,1,0.23,0.46,1.55,2,46,0.6,100,1.1,10.33,0
2,1,0.24,0.47,1.52,1.99,46.5,0.2,99,1.1,10.54,0
3,4,0.23,0.64,1.11,1.75,47.3,0.2,99,1,11.24,0
3,4,0.23,0.66,1.34,2,46.8,0,99,1.1,11.51,0
2,3,0.22,0.43,1.37,1.79,46.8,0,99,1.2,11.69,0
3,8,0.23,0.45,0.86,1.31,48.3,0,99,1.4,11.89,0
3,5,0.22,0.78,0.81,1.59,47.8,0.2,99,1.3,12.08,0
3,4,0.22,0.56,0.82,1.38,48.8,0,98,1.2,12.2,0
3,3,0.22,1.09,1.15,2.24,47.7,0,98,1.2,12.32,0
3,4,0.23,0.87,1.29,2.16,47,0.2,97,1.2,12.41,0
4,6,0.22,0.96,1.18,2.14,46.7,0.2,98,1.2,12.68,0.1
5,5,0.23,1,1.55,2.54,46.2,0.4,99,1.3,12.84,0.3
4,5,0.23,1.01,1.5,2.52,45.9,0.6,99,1.2,12.98,0.8
4,4,0.23,1.13,1.24,2.36,46.6,0.2,99,1.2,12.83,1.4
2,2,0.24,1.24,1.19,2.42,47.1,0.4,99,1.2,12.61,1.5
1,1,0.24,1.02,1.43,2.45,47.5,0.2,99,1.1,12.6,2.1
0,1,0.24,1.11,1.47,2.58,48.9,0,100,1,12.62,2.7
2,2,0.24,1.14,1.67,2.82,48.3,0,100,1.1,12.64,2.6
2,1,0.25,1,1.48,2.485,47.7,0,95,1.2,12.67,1.6
0,2,0.24,0.86,1.29,2.15,49.6,0,94,1,12.41,0.5
0,2,0.24,0.95,1.5,2.45,50.1,0,93,1.1,12.48,0.1
1,1,0.24,1.17,3.47,4.64,48.6,0,93,2.9,12.8,0
4,5,0.24,0.9,6.09,7,46.1,0,92,5,13.08,0
6,7,0.23,0.82,4.9,5.72,46.3,0,93,3.7,13.27,0
5,7,0.23,1.07,7.31,8.38,43.3,0,92,6,13.38,0
8,10,0.23,1.11,8.33,9.44,39.3,0,91,5.3,13.4,0
11,13,0.22,1.11,3.66,4.77,43.7,0.2,93,2.1,13.36,0
9,11,0.23,1.07,10.05,11.12,37.2,0,93,6.3,13.27,0
11,14,0.22,0.87,8.01,8.88,37.2,0,92,3.9,13.21,0
12,16,0.21,0.99,2.14,3.13,40.5,0,90,2.3,12.79,0
7,8,0.22,1.13,5.44,6.57,36.8,0,91,5.5,12.77,0
9,11,0.22,0.7,9.11,9.81,33.6,0,91,7.3,13.17,0
13,16,0.22,0.49,14.25,14.74,33.8,0,92,8.8,13.35,0
14,16,0.22,0.32,5.08,5.4,38.2,0,90,3.8,13.5,0
10,12,0.22,2.22,8.64,10.86,41.4,0,95,10.5,14.82,0.5
16,20,0.22,3.31,9.39,12.71,37.5,0,90,11.7,16.23,1.9
17,20,0.23,2.42,5.87,8.29,41,0.2,89,7.6,17.77,3.9
17,21,0.23,2.44,6.39,8.83,40.4,0,87,8.1,18.91,5.3
19,24,0.23,2.43,6.22,8.66,42.2,0,86,7,19.75,6.6
19,25,0.23,2.15,5.42,7.58,44.4,0,85,6.1,18.81,7.5
18,23,0.23,2.25,5.48,7.74,44.4,0,83,6.9,18.76,6.6
20,23,0.24,1.84,5.15,6.99,44.7,0,85,5.5,18.71,4
21,27,0.24,1.02,4.2,5.22,44.5,0,86,3,17.01,1.5
19,25,0.23,0.33,2.75,3.09,45.2,0,86,2.8,16.61,0.5
15,20,0.22,0.39,2.21,2.59,46.2,0,87,2.1,15.89,0.1
12,16,0.21,0.39,1.73,2.12,44.9,0,87,1.2,15.38,0
10,14,0.21,0.3,1.44,1.74,45.7,0,86,0.9,15.51,0
10,13,0.21,0.34,1.46,1.79,45.4,0,86,0.9,15.55,0
9,14,0.21,0.15,1.41,1.56,45.7,0,85,0.9,15.5,0
9,13,0.21,0.33,1.23,1.57,46.3,0,86,0.8,15.36,0
9,13,0.21,0.22,1.32,1.54,44.7,0,88,0.9,15.2,0
9,13,0.21,0.12,1.7,1.82,42.8,0,88,0.9,14.86,0
9,12,0.21,0.21,1.86,2.08,41,0,88,1,14.54,0
9,14,0.22,0.31,1.89,2.21,40.8,0,85,1.2,14.74,0
10,15,0.35,0.16,3.96,4.11,57.2,0,84,2.3,15.57,0
28,41,0.36,0.31,4.52,4.82,74.2,0,86,2.4,15.43,0
34,46,0.33,0.46,4.27,4.73,62.6,0,87,2,14.51,0
23,33,0.31,0.42,3.84,4.26,63.2,0,82,2,15.43,0
25,34,0.3,0.97,3.4,4.36,65.5,0,91,2.1,18.73,0.5
24,30,0.27,0.96,3.19,4.15,60.8,0,77,1.8,21.2,1.9
16,20,0.3,1.38,5.1,6.49,48.8,0,79,3.7,22.7,4.2
16,21,0.2,0.71,1.24,1.95,46.9,0,70,1.2,22.58,6.2
4,5,0.2,0.81,1.77,2.57,47.3,0,69,1.3,22.59,7.6
8,9,0.24,1.26,4.2,5.46,49.6,0,71,2,22.92,7.8
15,18,0.32,2.37,8.99,11.36,50.8,0,90,2.8,20.79,5.6
23,35,0.34,1.83,5.97,7.8,50.8,0,90,1.2,16.38,3
9,17,0.5,1.44,8.04,9.47,48.1,0,90,2.1,14.85,0.8
8,11,0.68,1.87,10.9,12.77,35.2,0.2,93,3.7,13.66,0.3
5,6,0.56,1.01,7.97,8.98,39.3,0,94,2.4,12.64,0
3,3,0.43,0.56,4.93,5.49,46,0.8,96,1.5,12,0
3,3,0.36,0.82,3.19,4.01,50.5,0.2,97,1,11.29,0
2,2,0.335,0.71,2.3,3,52.5,0.6,97,1,10.88,0
3,2,0.31,0.59,1.98,2.57,53.4,0.2,97,0.8,10.58,0
2,2,0.3,0.49,2.06,2.56,52.6,0.6,97,0.9,10.37,0
2,2,0.3,0.59,2.2,2.79,52.1,0.6,97,0.9,10.3,0
2,2,0.28,0.56,1.67,2.22,52.3,0.6,97,0.8,10.43,0
1,1,0.27,0.55,1.39,1.94,54.4,0.8,97,0.9,10.23,0
2,4,0.25,0.51,1.11,1.62,55.4,1,97,0.9,10.02,0
1,1,0.25,0.83,1.09,1.92,54.4,0.8,99,1.5,9.92,0
2,2,0.26,0.59,1.4,1.98,53.4,0.8,97,1.5,9.79,0
3,2,0.25,1.59,0.82,2.41,50.9,0.6,97,1.5,9.96,0
3,3,0.25,1.38,1.07,2.45,50.8,0.6,97,1.6,10.07,0
3,4,0.29,1.61,1.34,2.96,49.5,0.8,98,1.6,10.33,0.1
4,5,0.3,1.35,1.31,2.65,48.2,0.6,97,1.7,10.49,0.4
3,4,0.3,1.4,1.25,2.65,47.9,0.2,97,1.7,10.62,0.8
3,7,0.31,1.57,1.28,2.86,47.5,0.4,97,1.8,10.79,1.4
2,7,0.32,1.52,1.61,3.14,47,0,98,1.7,10.88,1.8
2,7,0.33,1.66,1.73,3.39,47.6,0,99,1.8,11.03,2.4
2,6,0.34,1.63,2.09,3.72,47.6,0,97,1.7,11.15,2
2,7,0.34,1.46,1.96,3.42,48.3,0,96,1.5,11.27,1.2
4,9,0.35,1.6,2.17,3.77,47.9,0.2,95,1.4,11.43,0.5
4,8,0.34,1.54,1.8,3.34,48.5,0.2,96,1.4,11.51,0.2
3,5,0.31,1.45,1.68,3.13,49.8,0.4,95,1.3,11.45,0
3,3,0.29,1.48,1.69,3.16,50,0.4,95,1.2,11.5,0
2,2,0.27,1.41,1.45,2.87,50.1,0,95,1.3,11.56,0
3,3,0.25,1.5,1.26,2.76,49.9,0.4,95,1.2,11.63,0
3,3,0.24,1.56,1.48,3.04,49.2,0.2,95,1.3,11.75,0
2,2,0.23,1.35,1.36,2.71,49.4,0.2,94,1.3,11.9,0
3,3,0.22,1.11,1.15,2.26,49.2,0.4,94,1.2,12.09,0
4,3,0.21,1.42,1.07,2.49,49.1,0.6,95,1.3,12.12,0
2,2,0.21,1.48,1.06,2.53,49.4,0.4,95,1.3,11.93,0
2,5,0.19,1.47,0.7,2.16,49.6,0.8,96,1.5,11.68,0
3,3,0.18,1.4,0.67,2.06,50,0.4,96,1.2,11.3,0
2,2,0.18,1.21,0.63,1.85,52.4,0.4,96,1.2,11.11,0
3,2,0.18,1.82,0.83,2.65,51.6,0.2,96,1.1,11.15,0
4,3,0.18,1.49,0.9,2.39,51.3,0.4,95,1.2,11.22,0
3,4,0.17,1.82,0.79,2.61,51.9,0.4,96,1.1,11.45,0.1
3,3,0.17,1.83,0.78,2.61,52.5,0.6,97,1.1,11.49,0.6
3,3,0.17,1.83,0.68,2.51,53.2,0.2,99,1.1,11.71,1.8
3,3,0.16,1.81,0.74,2.55,52.6,0.4,97,1.2,11.9,2.2
2,2,0.16,1.61,0.69,2.3,53,0,97,1.2,12.045,3.1
1,1,0.16,1.89,0.61,2.5,52.7,0.2,97,1.1,12.25,3
1,1,0.17,2.03,0.7,2.72,52.3,0.2,97,1,12.425,3.7
2,1,0.17,1.73,0.82,2.55,52,0,95,0.9,12.6,2.1
2,2,0.18,1.64,0.93,2.58,52.5,0.2,95,0.9,12.35,1
2,2,0.19,1.49,1.01,2.49,53.1,0.2,94,0.9,12.15,0.3
3,3,0.2,1.73,1.31,3.05,53,0.2,94,1,12.3,0
3,3,0.21,1.64,1.27,2.91,54.1,0.2,93,0.9,12.59,0
3,3,0.21,1.74,1.51,3.25,54.1,0.4,93,0.9,12.84,0
4,4,0.22,1.81,2.18,3.99,53.5,0.4,92,1,13.09,0
3,3,0.2,1.9,1.53,3.43,54.1,1,92,1,13.2,0
2,2,0.2,1.65,1.31,2.96,53.3,0.6,92,1,13.35,0
2,2,0.19,1.65,1.05,2.7,53.3,1,92,0.9,13.39,0
2,2,0.19,1.84,0.75,2.59,53.2,0.6,92,0.8,13.33,0
1,1,0.2,1.84,0.64,2.48,52.9,0.4,91,1,13.61,0
1,3,0.19,2.03,0.66,2.7,53,0.6,91,1.1,14.02,0
2,2,0.19,1.73,0.7,2.44,52.7,0,91,1.3,14.43,0
3,3,0.19,1.67,0.69,2.35,54.5,0.4,90,1.3,14.8,0
3,3,0.19,0.75,1.33,2.08,53.6,0.2,90,1.3,15.25,0
4,4,0.21,0.7,1.29,2,52.7,0.2,89,1.3,15.77,0
3,3,0.22,1.04,1.31,2.35,51.9,0,89,1.4,16.34,0.4
4,4,0.23,1.01,1.11,2.12,49.7,0,91,1.5,17.2,1.4
6,6,0.23,0.86,1.33,2.19,45.9,0,93,2.1,18.11,2.7
7,6,0.28,2.01,6.83,8.84,39.9,0,94,6.6,18.78,4.4
13,13,0.28,2.24,4.76,7,44.8,0,89,3,18.84,4.7
7,9,0.24,1.21,1.95,3.15,47.5,0,89,1.7,20.93,5.8
6,8,0.36,2.21,9.03,11.24,43.6,0,85,3,19.84,4.7
23,26,0.32,1.87,6.71,8.57,51.3,0,82,2.7,18.79,3.3
21,24,0.31,1.1,5.36,6.46,60.8,0,82,2.3,19.32,1.9
25,34,0.29,0.88,3.89,4.76,72.8,0,81,1.6,18.09,0.6
23,30,0.28,1.02,3.81,4.83,71.7,0,82,1.7,17,0.1
21,26,0.27,0.56,3.9,4.47,67.3,0,81,1.7,16.69,0
18,21,0.32,0.93,4.94,5.87,65,0,85,1.7,16.03,0
23,28,0.22,0.86,3.48,4.34,48.2,0,86,1.3,15.83,0
9,11,0.22,0.95,2.6,3.55,48.2,0,84,1.4,15.27,0
12,15,0.23,0.98,3.11,4.09,43,0,94,1.3,13.47,0
7,9,0.24,1.03,3.33,4.36,50,1.6,91,1.1,12.08,0
6,7,0.2,0.79,1.93,2.71,53.1,1,92,1.1,13.13,0
2,3,0.21,0.75,1.37,2.12,46.7,0.2,93,1.1,12.91,0
2,5,0.21,0.86,1.3,2.16,47.2,0.2,92,1.3,12.69,0
1,1,0.24,0.76,2.91,3.67,45.1,1.8,93,1.1,12.56,0
3,3,0.2,0.84,2.43,3.28,48.6,1,91,1,12.39,0
3,3,0.22,1.21,1.67,2.89,46.5,1.4,95,1.1,12.16,0
4,3,0.26,1.28,2.66,3.94,41,1.2,95,1.1,10.87,0
1,1,0.28,0.92,2.66,3.58,40.5,0.8,97,1.1,10.74,0.1
5,5,0.3,1.23,3.34,4.57,40.1,0.4,97,1.7,10.34,0.2
4,6,0.37,1.3,3.89,5.19,37.7,0.2,99,2.7,9.55,0.4
4,6,0.38,1.55,3.48,5.03,39,0.2,99,2.5,9.5,1.2
3,6,0.35,1.53,3.03,4.56,42,0,98,2.3,10.59,1.1
2,4,0.35,1.63,4.62,6.25,40.4,0.4,99,4,10.17,0.9
5,7,0.34,1.45,6.01,7.46,39.8,0.6,97,3.9,10.505,0.6
7,8,0.29,1.41,4.94,6.35,44.1,0.8,96,1.5,10.84,0.8
6,6,0.22,1.21,2.4,3.6,49.5,1.4,95,0.9,11.25,0.5
3,3,0.22,1.14,2.35,3.49,50,2.6,95,0.8,11.56,0.2
4,4,0.24,1.07,2.05,3.11,49.4,3.2,94,0.9,11.71,0
3,3,0.22,1.18,1.69,2.87,50.6,2.8,94,0.8,11.62,0
4,4,0.22,1.14,1.61,2.75,51.6,3,94,0.9,11.34,0
4,4,0.22,0.83,1.47,2.31,52.7,3.8,95,0.8,11.18,0
4,5,0.23,0.94,1.74,2.68,54.3,3.6,94,0.9,10.88,0
3,4,0.24,0.92,1.54,2.46,54.3,1.6,96,0.9,10.59,0
4,6,0.23,0.8,1.45,2.25,53.5,1.8,95,0.8,10.45,0
4,5,0.23,0.78,1.36,2.14,52.9,2.2,97,0.9,10.3,0
3,5,0.25,0.78,1.35,2.12,52.1,1.4,97,0.9,10.16,0
3,8,0.25,0.96,1.36,2.33,53.1,1.2,97,1.1,9.84,0
4,7,0.24,1.09,1.22,2.31,53.8,1.2,99,1,9.57,0
3,6,0.23,1.06,1.27,2.33,55.1,0.8,98,1,9.39,0
4,7,0.22,1.39,0.88,2.26,53.9,0.8,99,0.9,9.25,0
4,6,0.2,1.48,0.57,2.05,53.5,1.6,98,0.9,9.11,0
4,5,0.19,1.77,0.71,2.48,52.1,1.6,99,0.9,9.01,0.1
5,5,0.19,1.49,0.72,2.2,52.4,1.2,99,0.9,8.8,0.3
4,4,0.18,1.46,0.67,2.13,52.3,0.8,100,0.8,8.72,0.7
3,4,0.18,1.57,0.89,2.46,52.5,0.6,100,0.9,8.83,1.2
2,3,0.18,1.48,0.7,2.17,52.3,1,99,0.9,9.03,1.2
1,2,0.17,1.63,0.82,2.45,52.2,0.6,99,0.8,8.955,1.3
1,1,0.18,1.47,0.79,2.27,51.4,0.6,99,0.7,9.0175,0.8
1,2,0.18,1.34,0.63,1.98,51.4,0.4,99,0.6,9.08,0.7
1,2,0.18,1.26,0.79,2.05,51.5,0.4,98,0.7,9.18,0.4
3,3,0.19,1.22,1,2.22,51.8,1.2,98,0.6,9.16,0.1
4,4,0.19,1.41,1.14,2.54,51.9,0.4,99,0.7,9.23,0
3,3,0.18,1.33,0.72,2.04,51.7,1.4,97,0.6,9.42,0
3,3,0.18,1.36,0.59,1.95,51.8,0.4,97,0.6,9.76,0
4,4,0.18,1.55,0.55,2.1,52.2,0.6,96,0.7,10.02,0
3,2,0.18,1.3,0.64,1.94,52.2,0.6,96,0.6,10.27,0
3,3,0.17,1.27,0.86,2.14,52.3,0.6,95,0.7,10.79,0
3,3,0.17,1.28,0.81,2.08,53.4,0.8,95,0.7,11.08,0
3,3,0.17,1.58,0.64,2.22,53,0.8,94,0.6,11.18,0
1,1,0.18,1.47,0.58,2.06,53.6,0.6,95,0.7,11.35,0
3,5,0.19,1.39,0.66,2.05,54,1,94,0.9,11.51,0
2,2,0.2,1.65,0.74,2.38,54.8,0.6,94,1.5,11.74,0
2,3,0.2,1.66,0.7,2.35,57.6,0.8,97,1.3,12.03,0
3,3,0.2,1.05,0.65,1.7,56.9,0.6,96,1.4,12.28,0
4,4,0.21,1.1,0.41,1.51,57.6,0.6,95,1.4,12.61,0
4,4,0.21,0.86,0.43,1.29,57.9,0.6,96,1.4,12.95,0.1
3,3,0.22,0.91,0.86,1.77,55.4,1,96,1.4,13.22,0.2
4,4,0.22,0.79,1.28,2.07,54.6,2.2,96,1.4,13.43,0.3
4,4,0.22,1.1,1.44,2.54,52.9,3.4,94,1.4,13.66,0.6
3,3,0.22,0.93,0.89,1.83,52.6,2.2,96,1.5,13.89,0.9
2,2,0.21,1.04,0.85,1.89,53.2,0.8,96,1.4,13.89,0.8
1,1,0.21,0.88,0.72,1.6,53.6,2.2,96,1.3,13.67,1
0,1,0.2,0.78,0.81,1.59,52.8,1.4,96,1.2,13.23,0.9
2,2,0.2,1,0.65,1.65,52.3,2.2,96,1.3,12.91,0.6
2,2,0.2,1.08,0.71,1.79,51.8,1.6,97,1.2,12.5,0.2
2,2,0.2,1.33,0.98,2.31,51.5,4.8,97,1.2,11.87,0
2,2,0.19,1.22,0.65,1.87,52,5.8,98,1.2,11.39,0
4,4,0.2,0.84,0.67,1.51,51.5,1.4,99,1.1,11.03,0
3,3,0.2,0.86,1.62,2.48,48,2.2,100,1.1,10.28,0
3,3,0.21,0.95,2,2.95,46,2.2,100,1.2,9.02,0
2,1,0.23,1,3.74,4.73,41.7,2,100,1.5,8.17,0
3,3,0.26,0.92,5.68,6.6,37.4,1.8,100,2.4,7.48,0
2,2,0.26,0.89,5.53,6.41,37.7,1.6,100,2.5,6.68,0
2,2,0.25,0.95,4.03,4.98,40.8,1.2,100,2.3,6.4,0
2,4,0.23,1.01,2.87,3.88,42.7,1.8,100,2.3,6.27,0
2,2,0.25,0.78,2.77,3.55,42.7,3.4,100,2.4,5.77,0
2,2,0.27,1.21,3.7,4.91,38.5,2,100,2.8,5.18,0
3,3,0.28,0.68,5.01,5.7,36.2,1.6,100,3.1,4.98,0
3,3,0.28,0.86,4.71,5.57,36.8,2.2,100,3.2,4.91,0
3,3,0.28,0.76,4.14,4.9,38.4,1.4,100,2.4,4.86,0.1
3,3,0.29,0.76,3.97,4.74,38.4,1.2,100,2.4,4.76,0.1
4,4,0.3,1.07,4.23,5.3,36.4,1.2,100,2.2,4.67,0.2
3,4,0.28,0.74,3.6,4.34,38.6,3.2,100,2,4.7,0.2
3,3,0.28,0.98,3.64,4.61,38.5,4,100,2.2,4.325,0.2
2,2,0.28,0.97,3.8,4.77,38.9,4,100,2.4,4.295,0.3
2,2,0.28,0.92,3.81,4.72,39.3,2.2,100,2.1,4.0925,0.3
2,2,0.29,0.82,3.82,4.64,39.4,1.4,100,2.2,3.89,0.1
3,5,0.32,0.7,3.73,4.43,40.5,2,100,2.2,3.98,0.1
4,6,0.33,0.86,3.43,4.29,41.4,2.8,100,2.3,3.85,0
4,7,0.33,0.79,3.14,3.94,45.4,1.2,100,3,3.68,0
6,11,0.35,0.65,3.44,4.09,47.3,1,100,3.9,3.56,0
12,21,0.395,0.6,3.4,4,52.6,0.2,100,5.5,3.2,0
41,50,0.44,0.73,3.36,4.09,55.4,0,100,6.4,2.82,0
46,55,0.42,0.45,3.59,4.04,56.2,0,100,7.9,2.63,0
47,58,0.38,0.48,3.83,4.32,54.1,0,100,7.7,2.6,0
44,56,0.38,0.71,3.71,4.42,52.5,0,100,7.7,2.52,0
44,60,0.36,0.77,3.9,4.67,51.7,0,99,8,2.64,0
40,54,0.34,0.77,3.46,4.23,53.1,0,99,7.3,2.35,0
37,53,0.34,0.78,3.35,4.13,53,0,99,7.2,2.59,0
37,52,0.34,0.52,3.48,4,52.4,0,99,8,2.96,0
39,55,0.36,0.64,3.51,4.16,51.5,0,98,8.2,3.18,0
41,57,0.37,0.42,2.93,3.35,50.5,0,97,8.2,3.2,0
42,59,0.39,0.8,3.31,4.12,49.2,0,99,9.1,3.41,0
46,64,0.4,0.65,3.52,4.16,48.8,0,99,8.5,3.72,0.1
46,65,0.4,0.68,3.61,4.29,48.2,0,99,8.2,4.42,0.5
47,66,0.41,0.9,3.51,4.42,49.6,0,97,8.4,5.34,1.4
47,68,0.41,0.64,3.37,4.02,50.5,0,99,8.5,5.53,1.4
47,68,0.4,0.76,3.42,4.18,53.2,0,97,8.3,5.49,2.1
48,68,0.4,0.83,3.39,4.23,56.1,0,97,8.4,5.565,1.8
49,70,0.4,0.84,3.24,4.07,57.4,0,95,7.3,5.64,1.1
50,72,0.41,0.98,3.05,4.03,58.3,0,97,7.6,5.44,0.7
51,74,0.41,0.9,2.95,3.85,59.5,0,97,7.4,5.23,0.3
52,72,0.42,0.86,2.97,3.83,60.8,0,97,7,5.07,0.1
52,71,0.42,0.71,3,3.71,61.5,0,97,7.3,5.13,0
53,72,0.42,0.81,3.21,4.03,62.4,0,97,6.8,5.25,0
53,72,0.43,0.75,2.89,3.65,61.9,0,97,6.4,5.46,0
53,72,0.44,0.85,2.78,3.63,59.5,0,95,6.1,5.66,0
51,69,0.43,0.69,2.69,3.38,57.8,0,95,6.3,6.01,0
50,68,0.42,0.72,2.74,3.46,56.5,0,94,6.3,6.13,0
48,65,0.41,0.65,2.62,3.27,56.8,0,93,6.4,6.16,0
47,63,0.4,0.67,2.66,3.33,57.9,0,93,6.3,6.38,0
47,63,0.4,0.75,2.7,3.45,56.5,0,92,6.4,6.43,0
46,64,0.4,0.51,2.54,3.05,56.4,0,92,6,6.62,0
45,61,0.35,0.81,2.36,3.17,56.4,0,95,4.6,6.72,0
40,55,0.3,0.77,1.76,2.52,57.9,0,95,3.8,6.65,0
33,46,0.26,0.78,1.6,2.38,56.8,0,93,3.4,6.69,0
25,39,0.25,0.95,1.8,2.76,56.1,0,93,3.3,6.86,0
24,41,0.24,0.78,2.09,2.87,56.3,0,93,3.2,7.33,0.4
23,39,0.24,0.97,2.02,2.99,57,0,93,3.2,7.86,1.5
21,37,0.24,0.93,1.97,2.9,56.8,0,93,3.1,9.25,3.6
20,36,0.23,1.06,1.78,2.83,56.9,0,92,3.2,11.76,6.7
19,35,0.23,1.13,1.92,3.05,57,0,87,3.1,11.595,7.9
18,33,0.22,0.88,1.97,2.85,57.2,0,89,3,11.43,7.1
16,30,0.22,0.89,1.89,2.78,57.1,0,91,2.9,11.365,7
17,32,0.24,0.85,1.88,2.73,57.4,0,92,2.8,11.3,4.4
19,36,0.23,1.22,1.88,3.1,57.5,0,88,2.8,9.35,2
19,34,0.23,0.98,1.59,2.57,58.6,0,90,2.6,8.51,0.7
20,35,0.23,0.84,1.8,2.64,59.5,0,91,2.7,8.09,0.1
20,34,0.24,0.76,1.85,2.61,59.2,0,92,2.8,7.93,0
20,33,0.25,0.69,1.94,2.63,59.9,0,93,3,7.99,0
22,34,0.25,0.96,1.73,2.69,60.5,0,92,3.3,8.07,0
22,34,0.26,0.88,1.6,2.47,61.8,0,92,3.7,8.21,0
22,35,0.26,0.88,1.67,2.56,63.1,0,92,3.7,8.43,0
23,36,0.26,1,1.69,2.69,64,0,92,3.5,8.92,0
24,36,0.26,0.7,1.69,2.39,62.4,0,92,3.3,9.11,0
23,33,0.26,0.9,1.38,2.28,62.4,0,93,3.4,9.17,0
24,34,0.25,0.89,1.46,2.35,60.5,0,93,3.4,9.26,0
21,27,0.24,1.22,1.13,2.35,60.9,0,93,2.4,9.46,0
14,21,0.24,0.86,1.33,2.19,62.9,0,92,2.4,9.67,0
11,19,0.24,0.63,2.38,3.01,58.8,0,92,3.1,10.21,0
9,18,0.24,0.83,6.43,7.26,51.1,0,92,7.7,10.7,0
12,19,0.21,1.05,4.25,5.3,51,0,92,4.8,11.01,0.5
17,23,0.21,1.12,3.8,4.93,49.3,0,92,4.3,11.91,1.3
18,22,0.21,1.28,3.14,4.42,47.9,0,87,3.4,14.08,3.3
15,20,0.21,1.3,2.83,4.13,50,0,87,3.2,15.84,4.9
15,21,0.22,1.16,3.62,4.78,49.6,0,84,3.6,16.02,3.9
16,24,0.21,1.16,2.78,3.94,51.1,0,80,2.4,16.2,5.1
13,19,0.2,1.12,2.79,3.92,50.2,0,79,2.1,16.83,5.7
12,16,0.2,1.06,2.24,3.3,51.5,0,85,1.9,17.46,3.8
14,21,0.2,0.65,2.56,3.22,50.8,0,80,1.9,15.76,1.6
14,23,0.21,0.58,2.75,3.32,48.8,0,81,2.2,14.61,0.5
15,23,0.21,0.61,3.12,3.73,46.9,0,84,1.1,13.39,0.1
14,22,0.2,0.51,2.6,3.11,47.8,0,86,0.8,12.29,0
13,19,0.19,0.67,1.98,2.65,48.8,0,87,0.8,12.17,0
12,17,0.19,0.65,1.88,2.53,48.9,0,86,0.8,12.24,0
12,16,0.19,0.57,1.69,2.26,49.6,0,85,0.8,12.16,0
11,14,0.19,0.7,1.73,2.43,49.5,0,85,0.7,12.03,0
10,15,0.19,0.67,1.58,2.25,49.6,0,85,0.8,12.08,0
11,16,0.18,0.9,1.8,2.7,49.3,0,84,0.9,12.44,0
10,15,0.18,0.76,1.63,2.39,49.2,0,84,0.9,12.71,0
11,20,0.17,0.75,1.63,2.38,48.5,0,83,1.1,13.1,0
10,16,0.17,0.67,2.15,2.82,47.6,0,84,1.1,13.03,0
